Y;T;S
1;1;1
2;1;15
3;1;4
4;3;4
5;0;0
6;3;4
7;0;0
8;2;3
9;2;4
10;2;12
11;2;17
12;5;14
13;5;6
14;11;73
15;13;187
16;15;284
17;13;200
18;9;262
19;5;122
20;6;199
21;8;82
22;9;110
23;12;168
24;10;267
25;14;84
26;9;94
27;10;56
28;11;55
29;12;123
30;12;46
31;19;189
32;22;188
33;19;152
34;25;182
35;25;213
36;30;265
37;18;457
38;19;173
39;25;188
40;31;168
