Y;T;S
1;2;2
2;0;0
3;1;1
4;0;0
5;2;2
6;1;1
7;2;9
8;2;15
9;2;5
10;2;3
11;8;28
12;7;95
13;8;159
14;8;106
15;5;142
16;3;86
17;3;173
18;5;63
19;4;90
20;5;125
21;5;129
22;6;37
23;3;61
24;3;11
25;6;36
26;4;53
27;7;26
28;7;58
29;9;47
30;9;109
31;9;109
32;11;120
33;16;134
34;8;52
35;10;69
36;13;118
37;15;87
