Y;T;S
1;1;1
2;1;14
3;1;4
4;2;3
5;0;0
6;1;4
7;0;0
8;3;3
9;2;3
10;1;11
11;2;9
12;5;12
13;5;6
14;9;55
15;12;121
16;13;147
17;11;108
18;9;131
19;4;41
20;6;35
21;5;20
22;8;23
23;10;58
24;13;145
25;11;53
26;9;51
27;8;45
28;10;20
29;11;71
30;6;21
31;17;133
32;18;144
33;12;43
34;20;75
35;18;95
36;16;131
37;14;404
38;14;104
39;15;70
40;18;81
